Time,x-coordinate,y-coordinate,temperature
2,-8.00E-03,-1.00E-02,3.69E+02
2,-6.00E-03,-1.00E-02,3.69E+02
2,-4.00E-03,-1.00E-02,3.69E+02
2,-2.00E-03,-1.00E-02,3.69E+02
2,0.00E+00,-1.00E-02,3.69E+02
2,2.00E-03,-1.00E-02,3.69E+02
2,4.00E-03,-1.00E-02,3.69E+02
2,6.00E-03,-1.00E-02,3.69E+02
2,8.00E-03,-1.00E-02,3.69E+02
2,-1.00E-02,-8.00E-03,3.70E+02
2,-8.00E-03,-8.00E-03,3.70E+02
2,-6.00E-03,-8.00E-03,3.70E+02
2,-4.00E-03,-8.00E-03,3.70E+02
2,-2.00E-03,-8.00E-03,3.70E+02
2,0.00E+00,-8.00E-03,3.70E+02
2,2.00E-03,-8.00E-03,3.70E+02
2,4.00E-03,-8.00E-03,3.70E+02
2,6.00E-03,-8.00E-03,3.70E+02
2,8.00E-03,-8.00E-03,3.70E+02
2,1.00E-02,-8.00E-03,3.70E+02
2,-1.00E-02,-6.00E-03,3.71E+02
2,-8.00E-03,-6.00E-03,3.71E+02
2,-6.00E-03,-6.00E-03,3.71E+02
2,-4.00E-03,-6.00E-03,3.71E+02
2,-2.00E-03,-6.00E-03,3.71E+02
2,0.00E+00,-6.00E-03,3.71E+02
2,2.00E-03,-6.00E-03,3.71E+02
2,4.00E-03,-6.00E-03,3.71E+02
2,6.00E-03,-6.00E-03,3.71E+02
2,8.00E-03,-6.00E-03,3.71E+02
2,1.00E-02,-6.00E-03,3.71E+02
2,-1.00E-02,-4.00E-03,3.73E+02
2,-8.00E-03,-4.00E-03,3.73E+02
2,-6.00E-03,-4.00E-03,3.73E+02
2,-4.00E-03,-4.00E-03,3.73E+02
2,-2.00E-03,-4.00E-03,3.73E+02
2,0.00E+00,-4.00E-03,3.73E+02
2,2.00E-03,-4.00E-03,3.73E+02
2,4.00E-03,-4.00E-03,3.73E+02
2,6.00E-03,-4.00E-03,3.73E+02
2,8.00E-03,-4.00E-03,3.73E+02
2,1.00E-02,-4.00E-03,3.73E+02
2,-1.00E-02,-2.00E-03,3.75E+02
2,-8.00E-03,-2.00E-03,3.75E+02
2,-6.00E-03,-2.00E-03,3.75E+02
2,-4.00E-03,-2.00E-03,3.75E+02
2,-2.00E-03,-2.00E-03,3.75E+02
2,0.00E+00,-2.00E-03,3.75E+02
2,2.00E-03,-2.00E-03,3.75E+02
2,4.00E-03,-2.00E-03,3.75E+02
2,6.00E-03,-2.00E-03,3.75E+02
2,8.00E-03,-2.00E-03,3.75E+02
2,1.00E-02,-2.00E-03,3.75E+02
2,-1.00E-02,0.00E+00,3.78E+02
2,-8.00E-03,0.00E+00,3.78E+02
2,-6.00E-03,0.00E+00,3.78E+02
2,-4.00E-03,0.00E+00,3.78E+02
2,-2.00E-03,0.00E+00,3.78E+02
2,0.00E+00,0.00E+00,3.78E+02
2,2.00E-03,0.00E+00,3.78E+02
2,4.00E-03,0.00E+00,3.78E+02
2,6.00E-03,0.00E+00,3.78E+02
2,8.00E-03,0.00E+00,3.78E+02
2,1.00E-02,0.00E+00,3.78E+02
2,-1.00E-02,2.00E-03,3.82E+02
2,-8.00E-03,2.00E-03,3.82E+02
2,-6.00E-03,2.00E-03,3.82E+02
2,-4.00E-03,2.00E-03,3.82E+02
2,-2.00E-03,2.00E-03,3.82E+02
2,0.00E+00,2.00E-03,3.82E+02
2,2.00E-03,2.00E-03,3.82E+02
2,4.00E-03,2.00E-03,3.82E+02
2,6.00E-03,2.00E-03,3.82E+02
2,8.00E-03,2.00E-03,3.82E+02
2,1.00E-02,2.00E-03,3.82E+02
2,-1.00E-02,4.00E-03,3.86E+02
2,-8.00E-03,4.00E-03,3.86E+02
2,-6.00E-03,4.00E-03,3.86E+02
2,-4.00E-03,4.00E-03,3.86E+02
2,-2.00E-03,4.00E-03,3.86E+02
2,0.00E+00,4.00E-03,3.86E+02
2,2.00E-03,4.00E-03,3.86E+02
2,4.00E-03,4.00E-03,3.86E+02
2,6.00E-03,4.00E-03,3.86E+02
2,8.00E-03,4.00E-03,3.86E+02
2,1.00E-02,4.00E-03,3.86E+02
2,-1.00E-02,6.00E-03,3.91E+02
2,-8.00E-03,6.00E-03,3.91E+02
2,-6.00E-03,6.00E-03,3.91E+02
2,-4.00E-03,6.00E-03,3.91E+02
2,-2.00E-03,6.00E-03,3.91E+02
2,0.00E+00,6.00E-03,3.91E+02
2,2.00E-03,6.00E-03,3.91E+02
2,4.00E-03,6.00E-03,3.91E+02
2,6.00E-03,6.00E-03,3.91E+02
2,8.00E-03,6.00E-03,3.91E+02
2,1.00E-02,6.00E-03,3.91E+02
2,-1.00E-02,8.00E-03,3.95E+02
2,-8.00E-03,8.00E-03,3.95E+02
2,-6.00E-03,8.00E-03,3.95E+02
2,-4.00E-03,8.00E-03,3.95E+02
2,-2.00E-03,8.00E-03,3.95E+02
2,0.00E+00,8.00E-03,3.95E+02
2,2.00E-03,8.00E-03,3.95E+02
2,4.00E-03,8.00E-03,3.95E+02
2,6.00E-03,8.00E-03,3.95E+02
2,8.00E-03,8.00E-03,3.95E+02
2,1.00E-02,8.00E-03,3.95E+02
2,-8.00E-03,1.00E-02,4.00E+02
2,-6.00E-03,1.00E-02,4.00E+02
2,-4.00E-03,1.00E-02,4.00E+02
2,-2.00E-03,1.00E-02,4.00E+02
2,0.00E+00,1.00E-02,4.00E+02
2,2.00E-03,1.00E-02,4.00E+02
2,4.00E-03,1.00E-02,4.00E+02
2,6.00E-03,1.00E-02,4.00E+02
2,8.00E-03,1.00E-02,4.00E+02
8,-8.00E-03,-1.00E-02,4.00E+02
8,-6.00E-03,-1.00E-02,4.00E+02
8,-4.00E-03,-1.00E-02,4.00E+02
8,-2.00E-03,-1.00E-02,4.00E+02
8,0.00E+00,-1.00E-02,4.00E+02
8,2.00E-03,-1.00E-02,4.00E+02
8,4.00E-03,-1.00E-02,4.00E+02
8,6.00E-03,-1.00E-02,4.00E+02
8,8.00E-03,-1.00E-02,4.00E+02
8,-1.00E-02,-8.00E-03,4.00E+02
8,-8.00E-03,-8.00E-03,4.00E+02
8,-6.00E-03,-8.00E-03,4.00E+02
8,-4.00E-03,-8.00E-03,4.00E+02
8,-2.00E-03,-8.00E-03,4.00E+02
8,0.00E+00,-8.00E-03,4.00E+02
8,2.00E-03,-8.00E-03,4.00E+02
8,4.00E-03,-8.00E-03,4.00E+02
8,6.00E-03,-8.00E-03,4.00E+02
8,8.00E-03,-8.00E-03,4.00E+02
8,1.00E-02,-8.00E-03,4.00E+02
8,-1.00E-02,-6.00E-03,4.00E+02
8,-8.00E-03,-6.00E-03,4.00E+02
8,-6.00E-03,-6.00E-03,4.00E+02
8,-4.00E-03,-6.00E-03,4.00E+02
8,-2.00E-03,-6.00E-03,4.00E+02
8,0.00E+00,-6.00E-03,4.00E+02
8,2.00E-03,-6.00E-03,4.00E+02
8,4.00E-03,-6.00E-03,4.00E+02
8,6.00E-03,-6.00E-03,4.00E+02
8,8.00E-03,-6.00E-03,4.00E+02
8,1.00E-02,-6.00E-03,4.00E+02
8,-1.00E-02,-4.00E-03,4.00E+02
8,-8.00E-03,-4.00E-03,4.00E+02
8,-6.00E-03,-4.00E-03,4.00E+02
8,-4.00E-03,-4.00E-03,4.00E+02
8,-2.00E-03,-4.00E-03,4.00E+02
8,0.00E+00,-4.00E-03,4.00E+02
8,2.00E-03,-4.00E-03,4.00E+02
8,4.00E-03,-4.00E-03,4.00E+02
8,6.00E-03,-4.00E-03,4.00E+02
8,8.00E-03,-4.00E-03,4.00E+02
8,1.00E-02,-4.00E-03,4.00E+02
8,-1.00E-02,-2.00E-03,4.00E+02
8,-8.00E-03,-2.00E-03,4.00E+02
8,-6.00E-03,-2.00E-03,4.00E+02
8,-4.00E-03,-2.00E-03,4.00E+02
8,-2.00E-03,-2.00E-03,4.00E+02
8,0.00E+00,-2.00E-03,4.00E+02
8,2.00E-03,-2.00E-03,4.00E+02
8,4.00E-03,-2.00E-03,4.00E+02
8,6.00E-03,-2.00E-03,4.00E+02
8,8.00E-03,-2.00E-03,4.00E+02
8,1.00E-02,-2.00E-03,4.00E+02
8,-1.00E-02,0.00E+00,4.00E+02
8,-8.00E-03,0.00E+00,4.00E+02
8,-6.00E-03,0.00E+00,4.00E+02
8,-4.00E-03,0.00E+00,4.00E+02
8,-2.00E-03,0.00E+00,4.00E+02
8,0.00E+00,0.00E+00,4.00E+02
8,2.00E-03,0.00E+00,4.00E+02
8,4.00E-03,0.00E+00,4.00E+02
8,6.00E-03,0.00E+00,4.00E+02
8,8.00E-03,0.00E+00,4.00E+02
8,1.00E-02,0.00E+00,4.00E+02
8,-1.00E-02,2.00E-03,4.00E+02
8,-8.00E-03,2.00E-03,4.00E+02
8,-6.00E-03,2.00E-03,4.00E+02
8,-4.00E-03,2.00E-03,4.00E+02
8,-2.00E-03,2.00E-03,4.00E+02
8,0.00E+00,2.00E-03,4.00E+02
8,2.00E-03,2.00E-03,4.00E+02
8,4.00E-03,2.00E-03,4.00E+02
8,6.00E-03,2.00E-03,4.00E+02
8,8.00E-03,2.00E-03,4.00E+02
8,1.00E-02,2.00E-03,4.00E+02
8,-1.00E-02,4.00E-03,4.00E+02
8,-8.00E-03,4.00E-03,4.00E+02
8,-6.00E-03,4.00E-03,4.00E+02
8,-4.00E-03,4.00E-03,4.00E+02
8,-2.00E-03,4.00E-03,4.00E+02
8,0.00E+00,4.00E-03,4.00E+02
8,2.00E-03,4.00E-03,4.00E+02
8,4.00E-03,4.00E-03,4.00E+02
8,6.00E-03,4.00E-03,4.00E+02
8,8.00E-03,4.00E-03,4.00E+02
8,1.00E-02,4.00E-03,4.00E+02
8,-1.00E-02,6.00E-03,4.00E+02
8,-8.00E-03,6.00E-03,4.00E+02
8,-6.00E-03,6.00E-03,4.00E+02
8,-4.00E-03,6.00E-03,4.00E+02
8,-2.00E-03,6.00E-03,4.00E+02
8,0.00E+00,6.00E-03,4.00E+02
8,2.00E-03,6.00E-03,4.00E+02
8,4.00E-03,6.00E-03,4.00E+02
8,6.00E-03,6.00E-03,4.00E+02
8,8.00E-03,6.00E-03,4.00E+02
8,1.00E-02,6.00E-03,4.00E+02
8,-1.00E-02,8.00E-03,4.00E+02
8,-8.00E-03,8.00E-03,4.00E+02
8,-6.00E-03,8.00E-03,4.00E+02
8,-4.00E-03,8.00E-03,4.00E+02
8,-2.00E-03,8.00E-03,4.00E+02
8,0.00E+00,8.00E-03,4.00E+02
8,2.00E-03,8.00E-03,4.00E+02
8,4.00E-03,8.00E-03,4.00E+02
8,6.00E-03,8.00E-03,4.00E+02
8,8.00E-03,8.00E-03,4.00E+02
8,1.00E-02,8.00E-03,4.00E+02
8,-8.00E-03,1.00E-02,4.00E+02
8,-6.00E-03,1.00E-02,4.00E+02
8,-4.00E-03,1.00E-02,4.00E+02
8,-2.00E-03,1.00E-02,4.00E+02
8,0.00E+00,1.00E-02,4.00E+02
8,2.00E-03,1.00E-02,4.00E+02
8,4.00E-03,1.00E-02,4.00E+02
8,6.00E-03,1.00E-02,4.00E+02
8,8.00E-03,1.00E-02,4.00E+02
4,-8.00E-03,-1.00E-02,4.00E+02
4,-6.00E-03,-1.00E-02,4.00E+02
4,-4.00E-03,-1.00E-02,4.00E+02
4,-2.00E-03,-1.00E-02,4.00E+02
4,0.00E+00,-1.00E-02,4.00E+02
4,2.00E-03,-1.00E-02,4.00E+02
4,4.00E-03,-1.00E-02,4.00E+02
4,6.00E-03,-1.00E-02,4.00E+02
4,8.00E-03,-1.00E-02,4.00E+02
4,-1.00E-02,-8.00E-03,4.00E+02
4,-8.00E-03,-8.00E-03,4.00E+02
4,-6.00E-03,-8.00E-03,4.00E+02
4,-4.00E-03,-8.00E-03,4.00E+02
4,-2.00E-03,-8.00E-03,4.00E+02
4,0.00E+00,-8.00E-03,4.00E+02
4,2.00E-03,-8.00E-03,4.00E+02
4,4.00E-03,-8.00E-03,4.00E+02
4,6.00E-03,-8.00E-03,4.00E+02
4,8.00E-03,-8.00E-03,4.00E+02
4,1.00E-02,-8.00E-03,4.00E+02
4,-1.00E-02,-6.00E-03,4.00E+02
4,-8.00E-03,-6.00E-03,4.00E+02
4,-6.00E-03,-6.00E-03,4.00E+02
4,-4.00E-03,-6.00E-03,4.00E+02
4,-2.00E-03,-6.00E-03,4.00E+02
4,0.00E+00,-6.00E-03,4.00E+02
4,2.00E-03,-6.00E-03,4.00E+02
4,4.00E-03,-6.00E-03,4.00E+02
4,6.00E-03,-6.00E-03,4.00E+02
4,8.00E-03,-6.00E-03,4.00E+02
4,1.00E-02,-6.00E-03,4.00E+02
4,-1.00E-02,-4.00E-03,4.00E+02
4,-8.00E-03,-4.00E-03,4.00E+02
4,-6.00E-03,-4.00E-03,4.00E+02
4,-4.00E-03,-4.00E-03,4.00E+02
4,-2.00E-03,-4.00E-03,4.00E+02
4,0.00E+00,-4.00E-03,4.00E+02
4,2.00E-03,-4.00E-03,4.00E+02
4,4.00E-03,-4.00E-03,4.00E+02
4,6.00E-03,-4.00E-03,4.00E+02
4,8.00E-03,-4.00E-03,4.00E+02
4,1.00E-02,-4.00E-03,4.00E+02
4,-1.00E-02,-2.00E-03,4.00E+02
4,-8.00E-03,-2.00E-03,4.00E+02
4,-6.00E-03,-2.00E-03,4.00E+02
4,-4.00E-03,-2.00E-03,4.00E+02
4,-2.00E-03,-2.00E-03,4.00E+02
4,0.00E+00,-2.00E-03,4.00E+02
4,2.00E-03,-2.00E-03,4.00E+02
4,4.00E-03,-2.00E-03,4.00E+02
4,6.00E-03,-2.00E-03,4.00E+02
4,8.00E-03,-2.00E-03,4.00E+02
4,1.00E-02,-2.00E-03,4.00E+02
4,-1.00E-02,0.00E+00,4.00E+02
4,-8.00E-03,0.00E+00,4.00E+02
4,-6.00E-03,0.00E+00,4.00E+02
4,-4.00E-03,0.00E+00,4.00E+02
4,-2.00E-03,0.00E+00,4.00E+02
4,0.00E+00,0.00E+00,4.00E+02
4,2.00E-03,0.00E+00,4.00E+02
4,4.00E-03,0.00E+00,4.00E+02
4,6.00E-03,0.00E+00,4.00E+02
4,8.00E-03,0.00E+00,4.00E+02
4,1.00E-02,0.00E+00,4.00E+02
4,-1.00E-02,2.00E-03,4.00E+02
4,-8.00E-03,2.00E-03,4.00E+02
4,-6.00E-03,2.00E-03,4.00E+02
4,-4.00E-03,2.00E-03,4.00E+02
4,-2.00E-03,2.00E-03,4.00E+02
4,0.00E+00,2.00E-03,4.00E+02
4,2.00E-03,2.00E-03,4.00E+02
4,4.00E-03,2.00E-03,4.00E+02
4,6.00E-03,2.00E-03,4.00E+02
4,8.00E-03,2.00E-03,4.00E+02
4,1.00E-02,2.00E-03,4.00E+02
4,-1.00E-02,4.00E-03,4.00E+02
4,-8.00E-03,4.00E-03,4.00E+02
4,-6.00E-03,4.00E-03,4.00E+02
4,-4.00E-03,4.00E-03,4.00E+02
4,-2.00E-03,4.00E-03,4.00E+02
4,0.00E+00,4.00E-03,4.00E+02
4,2.00E-03,4.00E-03,4.00E+02
4,4.00E-03,4.00E-03,4.00E+02
4,6.00E-03,4.00E-03,4.00E+02
4,8.00E-03,4.00E-03,4.00E+02
4,1.00E-02,4.00E-03,4.00E+02
4,-1.00E-02,6.00E-03,4.00E+02
4,-8.00E-03,6.00E-03,4.00E+02
4,-6.00E-03,6.00E-03,4.00E+02
4,-4.00E-03,6.00E-03,4.00E+02
4,-2.00E-03,6.00E-03,4.00E+02
4,0.00E+00,6.00E-03,4.00E+02
4,2.00E-03,6.00E-03,4.00E+02
4,4.00E-03,6.00E-03,4.00E+02
4,6.00E-03,6.00E-03,4.00E+02
4,8.00E-03,6.00E-03,4.00E+02
4,1.00E-02,6.00E-03,4.00E+02
4,-1.00E-02,8.00E-03,4.00E+02
4,-8.00E-03,8.00E-03,4.00E+02
4,-6.00E-03,8.00E-03,4.00E+02
4,-4.00E-03,8.00E-03,4.00E+02
4,-2.00E-03,8.00E-03,4.00E+02
4,0.00E+00,8.00E-03,4.00E+02
4,2.00E-03,8.00E-03,4.00E+02
4,4.00E-03,8.00E-03,4.00E+02
4,6.00E-03,8.00E-03,4.00E+02
4,8.00E-03,8.00E-03,4.00E+02
4,1.00E-02,8.00E-03,4.00E+02
4,-8.00E-03,1.00E-02,4.00E+02
4,-6.00E-03,1.00E-02,4.00E+02
4,-4.00E-03,1.00E-02,4.00E+02
4,-2.00E-03,1.00E-02,4.00E+02
4,0.00E+00,1.00E-02,4.00E+02
4,2.00E-03,1.00E-02,4.00E+02
4,4.00E-03,1.00E-02,4.00E+02
4,6.00E-03,1.00E-02,4.00E+02
4,8.00E-03,1.00E-02,4.00E+02
3,-8.00E-03,-1.00E-02,3.85E+02
3,-6.00E-03,-1.00E-02,3.85E+02
3,-4.00E-03,-1.00E-02,3.85E+02
3,-2.00E-03,-1.00E-02,3.85E+02
3,0.00E+00,-1.00E-02,3.85E+02
3,2.00E-03,-1.00E-02,3.85E+02
3,4.00E-03,-1.00E-02,3.85E+02
3,6.00E-03,-1.00E-02,3.85E+02
3,8.00E-03,-1.00E-02,3.85E+02
3,-1.00E-02,-8.00E-03,3.85E+02
3,-8.00E-03,-8.00E-03,3.85E+02
3,-6.00E-03,-8.00E-03,3.85E+02
3,-4.00E-03,-8.00E-03,3.85E+02
3,-2.00E-03,-8.00E-03,3.85E+02
3,0.00E+00,-8.00E-03,3.85E+02
3,2.00E-03,-8.00E-03,3.85E+02
3,4.00E-03,-8.00E-03,3.85E+02
3,6.00E-03,-8.00E-03,3.85E+02
3,8.00E-03,-8.00E-03,3.85E+02
3,1.00E-02,-8.00E-03,3.85E+02
3,-1.00E-02,-6.00E-03,3.86E+02
3,-8.00E-03,-6.00E-03,3.86E+02
3,-6.00E-03,-6.00E-03,3.86E+02
3,-4.00E-03,-6.00E-03,3.86E+02
3,-2.00E-03,-6.00E-03,3.86E+02
3,0.00E+00,-6.00E-03,3.86E+02
3,2.00E-03,-6.00E-03,3.86E+02
3,4.00E-03,-6.00E-03,3.86E+02
3,6.00E-03,-6.00E-03,3.86E+02
3,8.00E-03,-6.00E-03,3.86E+02
3,1.00E-02,-6.00E-03,3.86E+02
3,-1.00E-02,-4.00E-03,3.87E+02
3,-8.00E-03,-4.00E-03,3.87E+02
3,-6.00E-03,-4.00E-03,3.87E+02
3,-4.00E-03,-4.00E-03,3.87E+02
3,-2.00E-03,-4.00E-03,3.87E+02
3,0.00E+00,-4.00E-03,3.87E+02
3,2.00E-03,-4.00E-03,3.87E+02
3,4.00E-03,-4.00E-03,3.87E+02
3,6.00E-03,-4.00E-03,3.87E+02
3,8.00E-03,-4.00E-03,3.87E+02
3,1.00E-02,-4.00E-03,3.87E+02
3,-1.00E-02,-2.00E-03,3.88E+02
3,-8.00E-03,-2.00E-03,3.88E+02
3,-6.00E-03,-2.00E-03,3.88E+02
3,-4.00E-03,-2.00E-03,3.88E+02
3,-2.00E-03,-2.00E-03,3.88E+02
3,0.00E+00,-2.00E-03,3.88E+02
3,2.00E-03,-2.00E-03,3.88E+02
3,4.00E-03,-2.00E-03,3.88E+02
3,6.00E-03,-2.00E-03,3.88E+02
3,8.00E-03,-2.00E-03,3.88E+02
3,1.00E-02,-2.00E-03,3.88E+02
3,-1.00E-02,0.00E+00,3.89E+02
3,-8.00E-03,0.00E+00,3.89E+02
3,-6.00E-03,0.00E+00,3.89E+02
3,-4.00E-03,0.00E+00,3.89E+02
3,-2.00E-03,0.00E+00,3.89E+02
3,0.00E+00,0.00E+00,3.89E+02
3,2.00E-03,0.00E+00,3.89E+02
3,4.00E-03,0.00E+00,3.89E+02
3,6.00E-03,0.00E+00,3.89E+02
3,8.00E-03,0.00E+00,3.89E+02
3,1.00E-02,0.00E+00,3.89E+02
3,-1.00E-02,2.00E-03,3.91E+02
3,-8.00E-03,2.00E-03,3.91E+02
3,-6.00E-03,2.00E-03,3.91E+02
3,-4.00E-03,2.00E-03,3.91E+02
3,-2.00E-03,2.00E-03,3.91E+02
3,0.00E+00,2.00E-03,3.91E+02
3,2.00E-03,2.00E-03,3.91E+02
3,4.00E-03,2.00E-03,3.91E+02
3,6.00E-03,2.00E-03,3.91E+02
3,8.00E-03,2.00E-03,3.91E+02
3,1.00E-02,2.00E-03,3.91E+02
3,-1.00E-02,4.00E-03,3.93E+02
3,-8.00E-03,4.00E-03,3.93E+02
3,-6.00E-03,4.00E-03,3.93E+02
3,-4.00E-03,4.00E-03,3.93E+02
3,-2.00E-03,4.00E-03,3.93E+02
3,0.00E+00,4.00E-03,3.93E+02
3,2.00E-03,4.00E-03,3.93E+02
3,4.00E-03,4.00E-03,3.93E+02
3,6.00E-03,4.00E-03,3.93E+02
3,8.00E-03,4.00E-03,3.93E+02
3,1.00E-02,4.00E-03,3.93E+02
3,-1.00E-02,6.00E-03,3.95E+02
3,-8.00E-03,6.00E-03,3.95E+02
3,-6.00E-03,6.00E-03,3.95E+02
3,-4.00E-03,6.00E-03,3.95E+02
3,-2.00E-03,6.00E-03,3.95E+02
3,0.00E+00,6.00E-03,3.95E+02
3,2.00E-03,6.00E-03,3.95E+02
3,4.00E-03,6.00E-03,3.95E+02
3,6.00E-03,6.00E-03,3.95E+02
3,8.00E-03,6.00E-03,3.95E+02
3,1.00E-02,6.00E-03,3.95E+02
3,-1.00E-02,8.00E-03,3.98E+02
3,-8.00E-03,8.00E-03,3.98E+02
3,-6.00E-03,8.00E-03,3.98E+02
3,-4.00E-03,8.00E-03,3.98E+02
3,-2.00E-03,8.00E-03,3.98E+02
3,0.00E+00,8.00E-03,3.98E+02
3,2.00E-03,8.00E-03,3.98E+02
3,4.00E-03,8.00E-03,3.98E+02
3,6.00E-03,8.00E-03,3.98E+02
3,8.00E-03,8.00E-03,3.98E+02
3,1.00E-02,8.00E-03,3.98E+02
3,-8.00E-03,1.00E-02,4.00E+02
3,-6.00E-03,1.00E-02,4.00E+02
3,-4.00E-03,1.00E-02,4.00E+02
3,-2.00E-03,1.00E-02,4.00E+02
3,0.00E+00,1.00E-02,4.00E+02
3,2.00E-03,1.00E-02,4.00E+02
3,4.00E-03,1.00E-02,4.00E+02
3,6.00E-03,1.00E-02,4.00E+02
